iter	Passed	Remaining
0	0	45
1	0	39
2	1	37
3	1	34
4	1	34
5	2	34
6	2	33
7	2	33
8	3	33
9	3	32
10	3	32
11	4	31
12	4	31
13	5	31
14	5	31
15	5	30
16	6	30
17	6	29
18	6	29
19	7	28
20	7	28
21	7	27
22	8	27
23	8	26
24	8	26
25	9	25
26	9	25
27	9	24
28	9	24
29	10	23
30	10	23
31	10	23
32	11	22
33	11	22
34	11	21
35	12	21
36	12	21
37	12	20
38	12	20
39	13	19
40	13	19
41	13	18
42	13	18
43	14	18
44	14	17
45	14	17
46	14	16
47	15	16
48	15	16
49	15	15
50	15	15
51	16	14
52	16	14
53	16	14
54	16	13
55	17	13
56	17	13
57	17	12
58	17	12
59	18	12
60	18	11
61	18	11
62	18	11
63	19	10
64	19	10
65	19	10
66	19	9
67	20	9
68	20	9
69	20	8
70	20	8
71	21	8
72	21	7
73	21	7
74	21	7
75	22	7
76	22	6
77	22	6
78	23	6
79	23	5
80	23	5
81	23	5
82	24	4
83	24	4
84	24	4
85	24	4
86	25	3
87	25	3
88	25	3
89	25	2
90	26	2
91	26	2
92	26	2
93	26	1
94	27	1
95	27	1
96	27	0
97	27	0
98	28	0
99	28	0
